period,value
751,1140.51458712
752,1143.08652168
753,1143.64289771
754,1122.21823099
755,1114.84285342
756,1094.3769117
757,1099.38779092
758,1086.96240441
759,1082.90191783
760,1062.17137603
761,1082.75176037
762,1065.28427442
763,1030.0612929
764,1035.46943907
765,1042.89739333
766,1029.93541291
767,1006.55421078
768,993.048135806
769,986.755702127
770,972.702457443
771,984.030209187
772,941.717979048
773,952.232114569
774,954.63170589
775,948.741977897
776,922.609588468
777,917.978328323
778,890.196485835
779,884.616747099
780,875.333029237
781,887.511292084
782,845.32829363
783,850.244847143
784,837.462355022
785,807.728632751
786,808.589357432
787,809.722957406
788,779.520043609
789,783.131195038
790,789.801023536
791,768.525902001
792,750.511292937
793,736.798745208
794,739.347101705
795,710.191284085
796,716.201305932
797,700.383593863
798,674.430990758
799,663.073596046
800,669.569729439
801,641.64336154
802,645.769691965
803,622.654351538
804,613.834559159
805,626.235054047
806,596.081511408
807,602.924301867
808,559.999270249
809,578.147929218
810,543.464058178
811,548.573799743
812,524.173029483
813,518.262211303
814,536.087075288
815,518.386734049
816,510.237357707
817,474.629500748
818,483.296549631
819,461.576958132
820,479.904511328
821,469.563491977
822,442.913940243
823,421.061917581
824,448.170890113
825,439.762958262
826,417.886270992
827,422.773792368
828,407.834641009
829,389.426452204
830,383.914292461
831,362.572684245
832,373.074736286
833,365.158282179
834,355.897362607
835,352.80280009
836,333.128398493
837,327.367397025
838,347.186670366
839,326.511020007
840,308.715263134
841,331.416383198
842,295.883157548
843,317.34815394
844,305.633844637
845,274.513377912
846,291.1311745
847,290.279624756
848,261.540734771
849,281.700561314
850,287.85265665
851,267.521098398
852,261.526744036
853,255.128946282
854,275.532713464
855,262.17032439
856,246.955054308
857,254.996366015
858,265.411420096
859,264.265215752
860,231.944463899
861,236.320861717
862,269.358120784
863,242.090096904
864,231.807773927
865,235.390739204
866,236.613640475
867,268.521645056
868,232.863181101
869,269.776073326
870,274.193203036
871,245.161353664
872,275.880244716
873,268.178570142
874,273.448302568
875,254.713110172
876,270.783074957
877,270.776511768
878,292.084045324
879,282.504176369
880,282.697405353
881,300.684459363
882,284.296013341
883,292.082207941
884,310.750310196
885,303.280117301
886,326.014354114
887,304.800229263
888,317.490441065
889,308.902068885
890,337.019140334
891,346.207541848
892,354.294276218
893,340.877159501
894,355.678191142
895,371.215896839
896,353.937353099
897,389.731807087
898,372.776020249
899,375.284602398
900,376.851831603
901,421.354979857
902,418.56930737
903,403.028970532
904,429.08255635
905,443.794348007
906,446.293706997
907,462.240877661
908,450.580356392
909,491.12820494
910,490.183609212
911,502.680459872
912,483.242022154
913,511.333973512
914,526.061721698
915,532.793620481
916,551.726781401
917,549.938744332
918,558.120515792
919,559.153881736
920,568.225750961
921,596.4384778
922,601.278483322
923,620.854202705
924,608.571896829
925,616.911157092
926,640.086638094
927,650.017373932
928,673.783735982
929,684.083418161
930,672.227712685
931,677.644912018
932,687.269431241
933,727.735775493
934,730.591925572
935,742.953858076
936,768.189122962
937,748.837305265
938,752.867416853
939,794.726017783
940,801.231032184
941,801.497477625
942,805.428296701
943,815.77225351
944,828.601149487
945,844.512063678
946,865.953560601
947,854.1078839
948,889.832234407
949,909.740031273
950,906.590108178
951,911.826110893
952,937.477561358
953,943.235205482
954,934.762840061
955,945.223245758
956,970.890273452
957,956.600526999
958,997.442662221
959,990.749465337
960,980.234663426
961,1008.86727256
962,1022.55501597
963,1019.53847527
964,1045.35429213
965,1045.07260209
966,1062.31850248
967,1044.66018715
968,1090.44538089
969,1087.81263534
970,1107.25462399
971,1078.05180386
972,1115.56829542
973,1105.35269289
974,1119.16957611
975,1136.98096307
976,1141.88028068
977,1120.56579703
978,1141.15207482
979,1144.77219842
980,1165.29613541
981,1168.62458598
982,1170.25786654
983,1183.13706527
984,1199.77044974
985,1169.20264512
986,1186.12320467
987,1217.51121526
988,1206.27462356
989,1218.95526503
990,1208.43300619
991,1213.2160183
992,1237.65143064
993,1232.89297912
994,1210.3901871
995,1233.10524921
996,1219.1974688
997,1240.96733299
998,1232.67650852
999,1259.85663007
1000,1235.83275358
1001,1236.31638071
1002,1259.68355412
1003,1228.89543058
1004,1267.51050915
1005,1253.92400801
1006,1237.70860157
1007,1255.52983536
1008,1266.50489551
1009,1254.63655728
1010,1252.62320792
1011,1229.55561433
1012,1256.63914467
1013,1227.25478116
1014,1232.1181052
1015,1235.20615678
1016,1236.08579
1017,1247.15634925
1018,1257.26994077
1019,1223.94544388
1020,1237.3660389
1021,1241.011271
1022,1218.11272825
1023,1230.62159715
1024,1217.69517831
1025,1224.09910479
1026,1227.05129125
1027,1188.76104897
1028,1202.69342037
1029,1189.09520865
1030,1179.15628489
1031,1197.48771962
1032,1189.28165458
1033,1170.52679674
1034,1172.88642887
1035,1148.94317829
1036,1178.11427354
1037,1171.20348523
1038,1129.58712045
1039,1133.54949212
1040,1148.92871445
1041,1132.72449582
1042,1114.72660924
1043,1094.26046867
1044,1113.03414169
1045,1100.44194878
1046,1089.89344658
1047,1086.25971886
1048,1061.09411509
1049,1044.13620606
1050,1052.12372471
1051,1061.49542524
1052,1033.3014415
1053,1040.11102968
1054,1028.65553868
1055,995.371790974
1056,989.727529161
1057,972.767392305
1058,994.737064567
1059,986.118035433
1060,952.414156502
1061,952.488027218
1062,936.619796463
1063,912.141657201
1064,913.546881477
1065,899.66199292
1066,882.729237277
1067,899.643957484
1068,873.466115794
1069,872.05136439
1070,863.1363872
1071,845.48652508
1072,842.458370548
1073,837.420746715
1074,828.389927105
1075,788.871282417
1076,801.722476099
1077,783.326689223
1078,786.464291834
1079,767.73578837
1080,747.791609075
1081,734.933251911
1082,730.613864325
1083,701.432716382
1084,714.668970561
1085,692.267571989
1086,676.715304988
1087,686.61828519
1088,660.151207762
1089,663.778813027
1090,624.544197678
1091,641.286398838
1092,629.398317472
1093,625.74910788
1094,593.90409542
1095,598.414476806
1096,570.267589692
1097,575.29214611
1098,577.256071052
1099,542.246203608
1100,547.701832453
1101,535.605362871
1102,508.99479096
1103,522.746958568
1104,480.826247828
1105,500.47905772
